epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,517.547,0.73963,0.5694,1.17718,0.6068,0.50317,0.53307,0.27524,2.07981,2.12832,2.84384,0.0004778,0.0004778,0.0004778
158,521.089,0.75342,0.53708,1.17792,0.56312,0.65436,0.63123,0.33738,1.97547,1.75791,2.73078,0.00047285,0.00047285,0.00047285
159,524.662,0.68885,0.49957,1.12326,0.54834,0.72409,0.63757,0.32125,1.97854,1.79561,2.79,0.0004679,0.0004679,0.0004679
160,528.225,0.69057,0.50735,1.13062,0.65281,0.66423,0.67395,0.33695,1.98338,1.94226,2.70304,0.00046295,0.00046295,0.00046295
161,531.848,0.68887,0.49745,1.12325,0.70143,0.57619,0.68669,0.33776,1.9904,1.82741,2.62152,0.000458,0.000458,0.000458
162,535.4,0.69046,0.53468,1.13485,0.59757,0.63806,0.65993,0.2958,2.00235,2.02307,2.66119,0.00045305,0.00045305,0.00045305
163,538.933,0.67988,0.51024,1.13993,0.51838,0.72419,0.61121,0.27552,2.04183,1.84399,2.74956,0.0004481,0.0004481,0.0004481
164,542.468,0.68921,0.54293,1.13534,0.61468,0.6544,0.64706,0.28585,2.0506,1.65486,2.70197,0.00044315,0.00044315,0.00044315
165,546.025,0.71488,0.56359,1.17994,0.58879,0.77343,0.69172,0.31643,2.10285,1.69695,2.75569,0.0004382,0.0004382,0.0004382
166,549.562,0.69079,0.54266,1.15848,0.65056,0.58124,0.6245,0.30758,2.23207,1.98895,2.85263,0.00043325,0.00043325,0.00043325
167,553.08,0.70138,0.5635,1.15735,0.711,0.63288,0.68406,0.32213,2.20609,1.7942,2.88469,0.0004283,0.0004283,0.0004283
168,556.468,0.68115,0.53142,1.15076,0.52766,0.70476,0.65449,0.31754,2.17569,1.79558,3.04009,0.00042335,0.00042335,0.00042335
169,559.802,0.69889,0.51731,1.13316,0.67313,0.53446,0.59036,0.2954,2.11305,1.85015,3.02743,0.0004184,0.0004184,0.0004184
170,563.09,0.7046,0.54793,1.12495,0.6027,0.67275,0.58281,0.2804,2.13093,1.79674,3.03767,0.00041345,0.00041345,0.00041345
171,566.496,0.70392,0.55906,1.15847,0.60171,0.67311,0.65426,0.31755,2.21725,1.45126,2.99082,0.0004085,0.0004085,0.0004085
172,569.989,0.72311,0.57504,1.16964,0.83806,0.59016,0.74733,0.33306,2.22389,1.31096,3.08295,0.00040355,0.00040355,0.00040355
173,573.232,0.69854,0.51357,1.10821,0.72718,0.61802,0.73073,0.32762,2.17142,1.52896,2.99615,0.0003986,0.0003986,0.0003986
174,576.475,0.66792,0.47521,1.11429,0.71888,0.69524,0.73742,0.34141,2.18321,1.43993,3.0031,0.00039365,0.00039365,0.00039365
175,579.67,0.66579,0.51391,1.11947,0.66445,0.71531,0.7388,0.35105,2.14621,1.52304,2.98336,0.0003887,0.0003887,0.0003887
176,582.933,0.68919,0.5201,1.13913,0.58635,0.735,0.73209,0.37571,2.02611,1.57203,2.66364,0.00038375,0.00038375,0.00038375
177,586.132,0.65516,0.48895,1.10639,0.53679,0.77455,0.75211,0.38556,1.96702,1.5535,2.58708,0.0003788,0.0003788,0.0003788
178,589.354,0.69604,0.49181,1.14606,0.68684,0.64762,0.73609,0.37839,1.88291,1.53381,2.62166,0.00037385,0.00037385,0.00037385
179,592.554,0.63302,0.46786,1.09728,0.604,0.71155,0.74024,0.37622,1.89839,1.48387,2.61173,0.0003689,0.0003689,0.0003689
180,595.762,0.62437,0.51115,1.0813,0.63117,0.68226,0.69638,0.34978,1.90614,1.49401,2.55285,0.00036395,0.00036395,0.00036395
181,599.096,0.62642,0.48044,1.104,0.55973,0.70043,0.61434,0.30648,1.8618,1.62204,2.49553,0.000359,0.000359,0.000359
